task_id,title,description,story_points,assignee,actual_time
1,Імпорт даних,Імпорт даних — детальний опис задачі #1,2,Dmytro,5.4
2,UI для дашборда,UI для дашборда — детальний опис задачі #2,2,Dmytro,4.2
3,Тестування OAuth,Тестування OAuth — детальний опис задачі #3,5,Andrii,13.0
4,Оптимізувати кешування,Оптимізувати кешування — детальний опис задачі #4,3,Dmytro,6.5
5,Імпорт даних,Імпорт даних — детальний опис задачі #5,5,Sergiy,12.2
6,Імпорт даних,Імпорт даних — детальний опис задачі #6,5,Olena,10.9
7,Виправити баг з логуванням,Виправити баг з логуванням — детальний опис задачі #7,13,Andrii,37.8
8,Імпорт даних,Імпорт даних — детальний опис задачі #8,8,Dmytro,14.4
9,Тестування OAuth,Тестування OAuth — детальний опис задачі #9,8,Olena,22.5
10,Тестування OAuth,Тестування OAuth — детальний опис задачі #10,1,Sergiy,2.1
11,UI для дашборда,UI для дашборда — детальний опис задачі #11,2,Dmytro,4.7
12,UI для дашборда,UI для дашборда — детальний опис задачі #12,2,Sergiy,5.1
13,Імпорт даних,Імпорт даних — детальний опис задачі #13,13,Kateryna,24.9
14,Виправити баг з логуванням,Виправити баг з логуванням — детальний опис задачі #14,13,Kateryna,34.6
15,Тестування OAuth,Тестування OAuth — детальний опис задачі #15,13,Sergiy,33.2
16,API для оплати,API для оплати — детальний опис задачі #16,5,Olena,10.2
17,Оптимізувати кешування,Оптимізувати кешування — детальний опис задачі #17,5,Kateryna,14.8
18,Виправити баг з логуванням,Виправити баг з логуванням — детальний опис задачі #18,3,Sergiy,7.7
19,Тестування OAuth,Тестування OAuth — детальний опис задачі #19,1,Dmytro,2.7
20,Імпорт даних,Імпорт даних — детальний опис задачі #20,2,Kateryna,4.6
